title,subtitle,author,content,link,category
"Is the Centre’s health insurance for seniors financially viable? Kerala may face massive cost hurdles 
Premium","The Central scheme is likely to have a catastrophic effect on Kerala’s finances as the State is already in the red because of the huge cost overruns of KASP, the integrated health financing scheme that is being run in the State in alignment with AB-PMJAY",C Maya,"Is the Centre’s health insurance for seniors financially viable? Kerala may face massive cost hurdles 
Premium The Central scheme is likely to have a catastrophic effect on Kerala’s finances as the State is already in the red because of the huge cost overruns of KASP, the integrated health financing scheme that is being run in the State in alignment with AB-PMJAY The implementation of the special health insurance scheme for senior citizens over 70 years of age under the Ayushman Bharat-Prime Minister’s Jan Arogya Yojana (AB-PMJAY) is likely to face a host of hurdles in Kerala as uncertainties are rife with regard to the Central allocation for the scheme. The new scheme for seniors’ healthcare, which envisages a health care coverage of ₹5 lakh for all seniors above 70 years regardless of their socio-economic status, is likely to have a catastrophic effect on Kerala’s finances as the State is already in the red because of the huge cost overruns of Karunya Arogya Suraksha Padhati (KASP), the integrated health financing scheme that is being run in the State in alignment with AB-PMJAY.",https://www.thehindu.com/news/national/kerala/centres-health-insurance-for-seniors-above-70-could-become-a-financial-burden-for-kerala/article68958955.ece,health
"Ballari maternal deaths: How is Karnataka faring in maternal mortality? 
Premium","While five districts in Karnataka have a high MMR ratio of above 100, overall, Karnataka has seen a significant improvement in this significant public health indicator over the past several years",Afshan Yasmeen,"Ballari maternal deaths: How is Karnataka faring in maternal mortality? 
Premium While five districts in Karnataka have a high MMR ratio of above 100, overall, Karnataka has seen a significant improvement in this significant public health indicator over the past several years Five districts in Karnataka have a high Maternal Mortality Ratio (MMR) of above 100, with Chickballapur recording the highest at 159 per lakh live births, according to Karnataka’s Civil Registration System (CRS) data from 2021 -22 to 2023-24. Ballari, which is now in the limelight for a series of five maternal deaths in a short span, has recorded an MMR of 62, which is less than the State average of 64.",https://www.thehindu.com/news/national/karnataka/maternal-mortality-five-districts-in-karnataka-have-a-high-ratio-of-above-100/article68955711.ece,health
"Winter skincare: A practical guide to healthy skin for all ages 
Premium","A tailored approach that considers age, lifestyle and skin health is crucial to maintaining resilient skin throughout the cold season",Monisha Madhumita,"Winter skincare: A practical guide to healthy skin for all ages 
Premium A tailored approach that considers age, lifestyle and skin health is crucial to maintaining resilient skin throughout the cold season Winter presents unique challenges for the skin. As temperatures drop and humidity plummets, the air pulls moisture away from the skin, leaving it dry, flaky, and prone to irritation. For those with preexisting skin conditions like eczema, acne, or psoriasis, winter can aggravate symptoms, making proper care critical. While general advice such as applying moisturisers and avoiding hot showers is helpful, winter skincare demands a more thoughtful and tailored approach that considers age, lifestyle and skin health. The colder months affect skin health primarily through dehydration. The skin’s natural barrier, which retains moisture and protects against environmental irritants, becomes compromised. This breakdown can lead to conditions such as redness, cracks, and increased sensitivity, paving the way for infections or exacerbation of chronic issues. Understanding these mechanisms is key to building a sustainable and effective routine that ensures skin health throughout the season.",https://www.thehindu.com/sci-tech/health/winter-skincare-a-practical-guide-to-healthy-skin-for-all-ages/article68954923.ece,health
Mobile phone addiction leads to sleep deprivation across age groups: experts,"Specialists in various fields discuss excessive usage of mobile phones and its impact on sleep, lay stress on concept of sleep hygiene, which includes having a set pattern of activities",The Hindu Bureau,"Mobile phone addiction leads to sleep deprivation across age groups: experts Specialists in various fields discuss excessive usage of mobile phones and its impact on sleep, lay stress on concept of sleep hygiene, which includes having a set pattern of activities Fear of missing out on things that happen around them is making people of all age groups glue themselves to their mobile phones that deprives them of a good sleep, which should be 7-8 hours a day, said a group of experts on Saturday (December 7, 2024). At a panel discussion titled “Stress and Sleep: The twin burdens that deter us from achieving full potential”, which was organised as part of ‘Healthy India, Happy India’, a collaborative initiative of Naruvi Hospitals and The Hindu here, Maria Antony, specialist in child and adolescent mental health, said excessive usage of mobile phones is inimical to sleep. “Mobile phone usage has become the new-age aliment for many people as they think smartphones are the only way of recreation,” she explained. The hour-long discussion was moderated by Ramya Kannan, Chief of Bureau (Tamil Nadu), The Hindu.",https://www.thehindu.com/sci-tech/health/mobile-phone-addiction-leads-to-sleep-deprivation-across-age-groups-experts/article68958913.ece,health
"Amid turmoil, Kolkata hospitals say they will not discriminate based on nationality, will continue to treat Bangladeshi patients",The medical fraternity said it does not support the one hospital in Kolkata that had issued a statement barring Bangladeshi patients; the State’s Indian Medical Association branch has strongly said that turning away a patient based on nationality amounts to a violation of medical ethics,Shrabana Chatterjee,"Amid turmoil, Kolkata hospitals say they will not discriminate based on nationality, will continue to treat Bangladeshi patients The medical fraternity said it does not support the one hospital in Kolkata that had issued a statement barring Bangladeshi patients; the State’s Indian Medical Association branch has strongly said that turning away a patient based on nationality amounts to a violation of medical ethics After incidents of atrocities against Hindu minorities in Bangladesh and of Bangladeshi students allegedly trampling on the Indian flag were reported, news reports of hospitals in West Bengal refusing to treat Bangladeshi patients spread like wildfire. The State sees and treats hundreds of Bangladeshi patients every year, primarily in its capital city Kolkata. But how true are the reports of ‘boycotts?’ And what does the medical fraternity feel about the issue? The issue began on November 29, when the J.N. Ray Hospital, in a statement said, “Lakhs of soldiers from our country shed their blood to bring freedom to Bangladesh, so when they insult our national flag, we cannot maintain cordial relations with them.” This statement made by the hospital’s director Subhrangshu Bhakta, said that they would offer no treatment or medical assistance to any Bangladeshi nationals and had a ‘no entry’ policy for Bangladeshi nationals.",https://www.thehindu.com/sci-tech/health/amid-turmoil-kolkata-hospitals-say-they-will-not-discriminate-based-on-nationality-will-continue-to-treat-bangladeshi-patients/article68954372.ece,health
"‘Healthy India, Happy India’ campaign begins","Udhayanidhi inaugurates joint initiative of The Hindu and Naruvi Hospitals, Vellore, aimed at building awareness on preventive healthcare",The Hindu Bureau,"‘Healthy India, Happy India’ campaign begins Udhayanidhi inaugurates joint initiative of The Hindu and Naruvi Hospitals, Vellore, aimed at building awareness on preventive healthcare ‘Healthy India, Happy India’, a joint initiative of The Hindu and Naruvi Hospitals, Vellore, to build awareness on preventive healthcare and promote wellness was inaugurated by Deputy Chief Minister Udhayanidhi Stalin on Saturday. Mr. Udhayanidhi appreciated the partnership to take the message on health to people. G.V. Sampath, founder and chairman, Naruvi Hospitals, explained the genesis of the project, while N. Ram, director, The Hindu Group, highlighted Tamil Nadu’s leadership in healthcare initiatives.",https://www.thehindu.com/sci-tech/health/healthy-india-happy-india-campaign-begins/article68959729.ece,health
Health Minister launches 100-day campaign to reduce TB incidence and mortality,"The goal of the campaign, to be implemented in 347 districts across the country, is to find and treat ‘missing TB cases’, especially in high-risk groups, and reduce TB deaths significantly",Bindu Shajan Perappadan,"Health Minister launches 100-day campaign to reduce TB incidence and mortality The goal of the campaign, to be implemented in 347 districts across the country, is to find and treat ‘missing TB cases’, especially in high-risk groups, and reduce TB deaths significantly “The rate of TB (tuberculosis) decline in India has doubled from 8.3% in 2015 to 17.7% today, much ahead of the global average. Deaths due to TB have also reduced in India by 21.4% in the last 10 years,” Union Health Minister J.P. Nadda said at the launch of the intensified national ‘100 day TB elimination campaign’ on Saturday (December 7, 2024), in Haryana. The goal of the campaign, to be implemented in 347 districts across the country, is to find and treat ‘missing TB cases’, especially in high-risk groups, and reduce TB deaths significantly.",https://www.thehindu.com/sci-tech/health/health-minister-launches-100-day-campaign-to-reduce-tb-incidence-and-mortality/article68958675.ece,health
"T.N. Health Dept. leading the way with flagship schemes, says Udhayanidhi","The T.N. Deputy Chief Minister was speaking at the inauguration of ‘Healthy India, Happy India’, a collaborative initiative by Naruvi Hospitals and The Hindu, in Vellore",The Hindu Bureau,"T.N. Health Dept. leading the way with flagship schemes, says Udhayanidhi The T.N. Deputy Chief Minister was speaking at the inauguration of ‘Healthy India, Happy India’, a collaborative initiative by Naruvi Hospitals and The Hindu, in Vellore Tamil Nadu Deputy Chief Minister Udhayanidhi Stalin on Saturday (December 7, 2024) said the State’s Health Department is the frontrunner in the country when it comes to reaching out to people with its various flagship health schemes. Mr. Udhayanidhi was speaking at the inauguration of ‘Healthy India, Happy India’, a collaborative initiative by Naruvi Hospitals and The Hindu, in Vellore, Tamil Nadu.",https://www.thehindu.com/news/national/tamil-nadu/tn-health-deptartment-leading-the-way-with-flagship-schemes-says-udhayanidhi/article68958066.ece,health
"New insights into how Long COVID affects the brain
Premium",No Subtitle,Rajeev  Jayadevan,"New insights into how Long COVID affects the brain
Premium No Subtitle Long COVID is a condition marked by multiple persistent symptoms that sometimes occur even after mild infections. Among these, memory loss, brain fog and sleep disturbances indicate brain involvement. MRI scans done before and after COVID-19 show shrinkage in certain brain regions, pointing to tissue loss. This raises crucial questions: how does a respiratory virus go on to affect the brain? And what drives brain inflammation in these patients? Two recent papers provide insights into how the virus might indirectly affect the brain. A study published in Cell Host & Microbe concludes that continued presence of the virus spike protein could be triggering inflammation and neurodegenerative changes in the brain. The spike also activates inflammatory pathways. When researchers injected spike protein into the skulls of mice, they observed brain inflammation along with behavioural changes.",https://www.thehindu.com/sci-tech/science/new-insights-into-how-long-covid-affects-the-brain/article68955259.ece,health
"Preventing malaria using genetically modified malaria parasites
Premium",Genetically modified malaria-causing parasites do not cause disease; they instead prime the immune system during the initial stage of their life cycle in the liver,R. Prasad,"Preventing malaria using genetically modified malaria parasites
Premium Genetically modified malaria-causing parasites do not cause disease; they instead prime the immune system during the initial stage of their life cycle in the liver Two vaccines against malaria have been rolled out in some countries in Africa. Besides vaccines, scientists have been using genetically altered mosquitoes to stop the spread of malaria. One is the release of radiation-sterilised male mosquitoes to prevent eggs from hatching. Another is engineering mosquitoes that slow the growth of malaria-causing parasites in the gut thereby preventing transmission of malaria to humans. The other method is using genetically modified mosquitoes that can spread resistance to malaria-causing parasites by thriving and mating with wild mosquitoes. Now, in a radical approach, scientists have shifted their focus from genetic modification of malaria-causing mosquitoes to malaria-causing parasites. They have genetically modified malaria-causing parasites so that the parasites do not cause disease. Instead, they prime the immune system during the initial stage of their life cycle in the liver and before they enter the bloodstream. Malaria-causing parasites cause infection and symptoms begin to show only when they move into the bloodstream from the liver stage.",https://www.thehindu.com/sci-tech/science/preventing-malaria-using-genetically-modified-malaria-parasites/article68955241.ece,health
