title,subtitle,author,content,link,category
Webb telescope confirms the universe is expanding at an unexpected rate,Two years of data from NASA's James Webb Space Telescope have now validated the Hubble Space Telescope's earlier finding that the rate of the universe's expansion is faster - by about 8%.,Miscellaneous,Webb telescope confirms the universe is expanding at an unexpected rate Two years of data from NASA's James Webb Space Telescope have now validated the Hubble Space Telescope's earlier finding that the rate of the universe's expansion is faster - by about 8%. Fresh corroboration of the perplexing observation that the universe is expanding more rapidly than expected has scientists pondering the cause - perhaps some unknown factor involving the mysterious cosmic components dark energy and dark matter. Two years of data from NASA's James Webb Space Telescope have now validated the Hubble Space Telescope's earlier finding that the rate of the universe's expansion is faster - by about 8% - than would be expected based on what astrophysicists know of the initial conditions in the cosmos and its evolution over billions of years. The discrepancy is called the Hubble Tension.,https://www.thehindu.com/sci-tech/science/webb-telescope-confirms-the-universe-is-expanding-at-an-unexpected-rate/article68968156.ece,science
"Study ups oft-smuggled Indian star tortoise’s conservation prospects
Premium","Researchers have identified two distinct groups of Indian star tortoises, so simply releasing seized individuals into nearby forests could be unscientific",Sanjukta Mondal,"Study ups oft-smuggled Indian star tortoise’s conservation prospects
Premium Researchers have identified two distinct groups of Indian star tortoises, so simply releasing seized individuals into nearby forests could be unscientific The Indian star tortoise (Geochelone elegans) is a sight to behold, with its obsidian shell and the striking Sun-yellow star patterns adorning it. These tortoises are hardy herbivores and are popular as exotic house pets — but they shouldn’t be. It’s illegal to own one in India but also unethical since they are vulnerable in the wild. Endemic to the subcontinent, Indian star tortoises reside in arid pockets of northwest India (bordering Pakistan), South India, and Sri Lanka. However, members of the species have also been found in people’s homes as far afield as Canada and the U.S. The increasing demand for them as pets has entangled them in one of the largest global wildlife trafficking networks.",https://www.thehindu.com/sci-tech/energy-and-environment/study-brings-indian-star-tortoise-to-evidence-based-conservation/article68961578.ece,science
"Dutch airport Schiphol capped at 478,000 flights per year to reduce noise","The government said the new flight cap was expected to reduce noise by 15%, while it would look for ways to reduce an additional 5% at a later stage.",Miscellaneous,"Dutch airport Schiphol capped at 478,000 flights per year to reduce noise The government said the new flight cap was expected to reduce noise by 15%, while it would look for ways to reduce an additional 5% at a later stage. Amsterdam Schiphol airport's total flight capacity will be lowered by 4% next year in an effort to cut noise pollution, the Dutch government said on Friday (December 6, 2024). Traffic at Schiphol, one of Europe's busiest hubs, will be limited to 478,000 flights per year from 2025, down from the current cap of 500,000 flights per year.",https://www.thehindu.com/sci-tech/energy-and-environment/dutch-airport-schiphol-capped-at-478000-flights-per-year-to-reduce-noise/article68968288.ece,science
"‘AI’s benefits to humanity are enormous, we need social mechanisms to deal with the problems it creates’ 
Premium","Dr. Raj Reddy, Moza Bint Nasser University Professor of Computer Science and Robotics at Carnegie Mellon University and Padma Bhushan awardee, was recently in Bengaluru where he spoke about the promises and perils of AI",Shilpa Elizabeth,"‘AI’s benefits to humanity are enormous, we need social mechanisms to deal with the problems it creates’ 
Premium Dr. Raj Reddy, Moza Bint Nasser University Professor of Computer Science and Robotics at Carnegie Mellon University and Padma Bhushan awardee, was recently in Bengaluru where he spoke about the promises and perils of AI Artificial intelligence, unarguably, has been transforming the lives of people in ways that were unimaginable till recently. While it has contributed immensely to improving efficiencies across systems, its unprecedented and unregulated pace has also caused anxieties in terms of deepfakes and potential job losses. Dr. Raj Reddy, Moza Bint Nasser University Professor of Computer Science and Robotics at Carnegie Mellon University and Padma Bhushan awardee, has been a strong proponent of AI and the promises it holds for the world.",https://www.thehindu.com/sci-tech/science/ais-benefits-to-humanity-are-enormous-we-need-social-mechanisms-to-deal-with-the-problems-it-creates/article68961309.ece,science
"What is mathematical realism?
Premium",No Subtitle,Vasudevan Mukunth,"What is mathematical realism?
Premium No Subtitle Is mathematics a discovery or an invention? The answers to this question are an important part of the philosophy of mathematics. To answer it, philosophers would like to know whether mathematics is a natural part of this world that existed before humans discovered and comprehended it or if mathematics was invented by humans.",https://www.thehindu.com/sci-tech/science/what-is-mathematical-realism/article68961268.ece,science
"Drought, degrading land take centrestage at UN talks in Riyadh","More than three-quarters of the land on Earth is permanently drying, primarily due to climate change, according to a report released Monday at a United Nations summit in Riyadh, Saudi Arabia",Miscellaneous,"Drought, degrading land take centrestage at UN talks in Riyadh More than three-quarters of the land on Earth is permanently drying, primarily due to climate change, according to a report released Monday at a United Nations summit in Riyadh, Saudi Arabia Much of Earth's lands are drying out and damaging the ability of plant and animal life to survive, according to a United Nations report released Monday at talks where countries are working to address the problem. The report was released at the U.N. summit in Riyadh, Saudi Arabia on combating desertification — once-fertile lands turning into deserts because of hotter temperatures from human-caused climate change, lack of water and deforestation. It found that more than three-quarters of the world's land experienced drier conditions from 1970 to 2020 than the previous thirty-year period.",https://www.thehindu.com/sci-tech/energy-and-environment/drought-degrading-land-take-centrestage-at-un-talks-in-riyadh/article68964660.ece,science
"In a first, Indian Institute of Astrophysics astronomers spot ultraviolet emissions from novae in Andromeda galaxy",AstroSat is India’s first dedicated space astronomy observatory and the UVIT is one of the primary payloads which was developed by IIA.,The Hindu Bureau,"In a first, Indian Institute of Astrophysics astronomers spot ultraviolet emissions from novae in Andromeda galaxy AstroSat is India’s first dedicated space astronomy observatory and the UVIT is one of the primary payloads which was developed by IIA. Astronomers from the Indian Institute of Astrophysics (IIA) have spotted far ultra violet (FUV) emissions from novae for the first time in the neighbouring Andromeda galaxy. The ultraviolet emissions from novae are a special class of transient astronomical event that causes the sudden appearance of a bright, apparently new star that slowly fades over weeks or months, during their outburst.",https://www.thehindu.com/sci-tech/science/in-a-first-iia-astronomers-spot-ultraviolet-emissions-from-novae-in-andromeda-galaxy/article68961894.ece,science
Proba-3 mission would significantly advance understanding of Sun's Corona: Ex-ISRO scientist,"It aims to study the Corona, which is hotter than the Sun's surface, and explore the solar wind which is a stream of charged particles emanating from the Sun, says P.V. Venkitakrishnan, former director of the Capacity Building Programme Office, ISRO headquarters",Miscellaneous,"Proba-3 mission would significantly advance understanding of Sun's Corona: Ex-ISRO scientist It aims to study the Corona, which is hotter than the Sun's surface, and explore the solar wind which is a stream of charged particles emanating from the Sun, says P.V. Venkitakrishnan, former director of the Capacity Building Programme Office, ISRO headquarters ISRO's successful launch of European Space Agency's (ESA) Proba-3 satellites onboard PSLV-C59 rocket is a 'groundbreaking mission' and would significantly advance the understanding of Sun's corona and solar wind, a former ISRO scientist said. Also Read | First science result from Aditya-L1 mission is out",https://www.thehindu.com/sci-tech/science/proba-3-mission-would-significantly-advance-understanding-of-suns-corona-ex-isro-scientist/article68961341.ece,science
"Intermittent fasting inhibits hair regeneration in mice: study
Premium",No Subtitle,The Hindu Bureau,"Intermittent fasting inhibits hair regeneration in mice: study
Premium No Subtitle Intermittent fasting has proven benefits for metabolic health, but a new study shows that it could slow hair growth — at least in mice. Researchers report in the Cell that mice subjected to intermittent fasting regimes show improved metabolic health but slower hair regeneration compared to mice with 24/7 access to food. A similar process might occur in humans, based on a small clinical trial that the team also conducted, but it’s likely to be less severe since humans have a much slower metabolic rate and different hair growth patterns compared to mice. In addition to its metabolic benefits, previous studies have shown that fasting can improve the stress resistance of stem cells associated with blood, intestinal, and muscle tissue, but little is known about how it impacts peripheral tissues such as skin and hair. The researchers hypothesised that fasting might also be beneficial for skin tissue regeneration, the process by which old and damaged cells are replaced.",https://www.thehindu.com/sci-tech/intermittent-fasting-inhibits-hair-regeneration-in-mice-study/article68955287.ece,science
"Antimatter idea offers scientists clue to cracking cosmic mystery
Premium","If the universe started off with equal amounts of matter and antimatter, where has all the antimatter gone?",Nirmal Raj,"Antimatter idea offers scientists clue to cracking cosmic mystery
Premium If the universe started off with equal amounts of matter and antimatter, where has all the antimatter gone? One of the most astonishing facts about the natural world is the existence of antiparticles. Theorised by the English physicist Paul A.M. Dirac in 1928 and observed in cosmic rays by American physicist Carl Anderson in 1932, an antiparticle is a ‘partner’ of a particle type that has the same mass but opposite charge. For example, the antielectron is the antiparticle of the electron; it has the same mass and is positively charged. Antiparticles are an inevitable consequence of describing the world in terms of quantum mechanics and special relativity.",https://www.thehindu.com/sci-tech/science/proposed-mechanism-antimatter-absence-sakharov-conditions-standard-model/article68964127.ece,science
