title,subtitle,author,content,link,category
Jeremy Allen White joins ‘The Mandalorian & Grogu’ as Rotta the Hutt,"White, currently filming a Bruce Springsteen biopic, rose to prominence on Showtime’s ‘Shameless’ before ‘The Bear’ propelled him to stardom with multiple awards",The Hindu Bureau,"Jeremy Allen White joins ‘The Mandalorian & Grogu’ as Rotta the Hutt White, currently filming a Bruce Springsteen biopic, rose to prominence on Showtime’s ‘Shameless’ before ‘The Bear’ propelled him to stardom with multiple awards Emmy-winning actor Jeremy Allen White is stepping into the Star Wars universe, lending his voice to Rotta the Hutt, Jabba the Hutt’s son, in the upcoming film The Mandalorian & Grogu. Known for his acclaimed role in FX’s The Bear, this marks White’s first foray into a major franchise. Set to debut on May 22, 2026, The Mandalorian & Grogu promises to expand the universe of Disney+’s hit series The Mandalorian. The show takes place after the events of Return of the Jedi, where Jabba’s death left Tatooine’s criminal underworld in chaos. While plot details remain closely guarded, White’s role as Rotta hints at new dynamics in the power struggles on the desert planet. Speculation is mounting about possible appearances from Boba Fett (Temuera Morrison) and his ally Fennec Shand (Ming-Na Wen), who previously claimed Jabba’s throne in The Book of Boba Fett.",https://www.thehindu.com/entertainment/movies/jeremy-allen-white-joins-the-mandalorian-grogu-as-rotta-the-hutt/article68967879.ece,movies
‘Yo Yo Honey Singh: Famous’ trailer: Netflix’s docu offers glimpse into the life of India’s most famous rapper,"Directed by Mozez Singh and produced by Sikhya Entertainment, the documentary premieres on Netflix on December 20",The Hindu Bureau,"‘Yo Yo Honey Singh: Famous’ trailer: Netflix’s docu offers glimpse into the life of India’s most famous rapper Directed by Mozez Singh and produced by Sikhya Entertainment, the documentary premieres on Netflix on December 20 Streaming giant Netflix on Tuesday unveiled the trailer for its upcoming documentary film, Yo Yo Honey Singh: Famous, which chronicles the journey of the titular iconic music sensation. Directed by Mozez Singh and produced by Sikhya Entertainment, the documentary premieres on Netflix on December 20. In the trailer, we see how a boy from a humble Punjabi background went on to become one of the most popular Indian rappers, taking Punjabi music to the global stage. With the help of personal accounts from friends, family, colleagues and collaborators (including one Salman Khan), the documentary peels back the layers of Honey Singh’s life to reveal the man behind the angrezi beats and controversies.",https://www.thehindu.com/entertainment/movies/yo-yo-honey-singh-famous-trailer-netflixs-docu-offers-glimpse-into-the-life-of-indias-most-famous-rapper/article68968105.ece,movies
"Yash Raj Films, Posham Pa Pictures team up to produce theatrical films",Yash Raj Films and Posham Pa Pictures will jointly produce theatrical releases starting 2025,Miscellaneous,"Yash Raj Films, Posham Pa Pictures team up to produce theatrical films Yash Raj Films and Posham Pa Pictures will jointly produce theatrical releases starting 2025 Production houses Yash Raj Films (YRF) and Posham Pa Pictures on Tuesday announced a creative partnership under which they will produce theatrical films starting next year. YRF, one of the top banners of the country, has backed several diverse films including Kabhi Kabhie, Deewar, Dilwale Dulhania Le Jayenge, Veer-Zaara, Ek Tha Tiger, and the Dhoom franchise. Posham Pa Pictures has garnered acclaim for Kaala Paani, Mamla Legal Hai, Home Shanti and Jaadugar.",https://www.thehindu.com/entertainment/movies/yash-raj-films-posham-pa-pictures-team-up-to-produce-theatrical-films/article68968466.ece,movies
"Akshay Kumar starts shooting for ‘Bhooth Bangla’, film to release in April 2026",‘Bhooth Bangla’ reunites Akshay and Priyadarshan after 14 years,Miscellaneous,"Akshay Kumar starts shooting for ‘Bhooth Bangla’, film to release in April 2026 ‘Bhooth Bangla’ reunites Akshay and Priyadarshan after 14 years Bollywood superstar Akshay Kumar on Tuesday announced thatBhooth Bangla, his upcoming horror comedy with frequent collaborator Priyadarshan, will hit the theatres on April 2, 2026. The actor, who has worked with the veteran filmmaker on several hit comedies such as Hera Pheri, Garam Masala, Bhool Bhulaiyaa, and Bhagam Bhag, also said he has commenced filming on the movie.",https://www.thehindu.com/entertainment/movies/akshay-kumar-starts-shooting-for-bhooth-bangla-film-to-release-in-april-2026/article68968206.ece,movies
Golden Globes 2025: Here’s the full list of nominees,"Jacques Audiard’s audacious musical “Emilia Pérez” leads nominations to the 82nd Golden Globes, scoring 10 nods",The Hindu Bureau,"Golden Globes 2025: Here’s the full list of nominees Jacques Audiard’s audacious musical “Emilia Pérez” leads nominations to the 82nd Golden Globes, scoring 10 nods Jacques Audiard’s musical “Emilia Pérez,” about a Mexican drug lord who undergoes gender-affirming surgery, led nominations to the 82nd Golden Globes on Monday (December 9, 2024), scoring 10 nods to lead it over other contenders like the musical smash “Wicked,” the papal thriller “Conclave” and the postwar epic “The Brutalist.” Indian filmmaker Payal Kapadia and her debut feature “All We Imagine As Light” have secured two nominations. The nominations are in the categories of Best Motion Picture - Non-English Language and Best Director - Motion Picture for Kapadia.",https://www.thehindu.com/entertainment/movies/golden-globe-full-list-interactive-story/article68968385.ece,movies
Thiruvalluvar on a time machine: Animation series ‘The Grandys’ gives a makeover to the Tamil poet,"Backed by Chennai-based VA Studios, ‘The Grandys’ features Tamil poet Thiruvalluvar taking a time machine",Srinivasa Ramanujam,"Thiruvalluvar on a time machine: Animation series ‘The Grandys’ gives a makeover to the Tamil poet Backed by Chennai-based VA Studios, ‘The Grandys’ features Tamil poet Thiruvalluvar taking a time machine Vijay Ashokan hated learning the Thirukural as a child. “We would have to memorise it and it was very difficult. Even if we made a small mistake while reciting or writing it, we would be chided.” Learning the ancient Tamil text by rote irked Vijay as a child. “I developed an aversion towards the text and its author, Thiruvalluvar,” he recalls. Luckily, after schooling, he chanced upon a translated version of the book that changed his perspective. “I realised how great he was and understood the depth of his work.”",https://www.thehindu.com/entertainment/thiruvalluvar-on-a-time-machine-animation-series-the-grandys-gives-a-makeover-to-the-tamil-poet/article68965039.ece,movies
Richa Chadha-Ali Fazal’s ‘Girls Will Be Girls’ earns two nominations at Independent Spirit Awards,Kani Kusruti and Preeti Panigrahi star as mother and daughter in this coming-of-age story set around a boarding school in a Himalayan hill town,Miscellaneous,"Richa Chadha-Ali Fazal’s ‘Girls Will Be Girls’ earns two nominations at Independent Spirit Awards Kani Kusruti and Preeti Panigrahi star as mother and daughter in this coming-of-age story set around a boarding school in a Himalayan hill town Richa Chadha and Ali Fazal's debut film production Girls Will Be Girls has earned two nominations — the John Cassavetes Award and Best Supporting Performance for Kani Kusruti — at the 40th Independent Spirit Awards. Girls Will Be Girls, directed by Shuchi Talati, revolves around a 16-year-old girl called Mira (Preeti Panigrahi) whose rebellious awakening is intertwined with her mother's (Kusruti) unfulfilled coming-of-age experiences. According to a press release, the film is one of the five contenders for the John Cassavetes Award, which honours the creative team of the best films made with a budget under USD 1 million.",https://www.thehindu.com/entertainment/movies/richa-chadha-ali-fazals-girls-will-be-girls-earns-two-nominations-at-independent-spirit-awards/article68968461.ece,movies
Chris Evans and Robert Downey Jr. to make MCU reunion in ‘Avengers: Doomsday’,"The film will also feature the MCU’s newly cast ‘Fantastic Four’, including Pedro Pascal and Vanessa Kirby",The Hindu Bureau,"Chris Evans and Robert Downey Jr. to make MCU reunion in ‘Avengers: Doomsday’ The film will also feature the MCU’s newly cast ‘Fantastic Four’, including Pedro Pascal and Vanessa Kirby The Marvel Cinematic Universe (MCU) is set to welcome back two of its most iconic stars, Chris Evans and Robert Downey Jr., in the upcoming Avengers: Doomsday. Scheduled for release on May 1, 2026, the film will see Downey Jr. take on the role of Doctor Doom, while Evans’ return as Steve Rogers raises questions about the multiverse’s influence on the MCU. Directed by the Russo Brothers, who previously helmed Captain America: Civil War, Avengers: Infinity War, and Avengers: Endgame, the film is expected to build on the sprawling narrative introduced in Endgame. Downey Jr.’s portrayal of a Tony Stark variant and Evans’ rumored return as a version of Steve Rogers are set to challenge fans’ expectations. While Anthony Mackie’s Sam Wilson remains the official Captain America, speculation swirls about how Evans’ character will fit into the story.",https://www.thehindu.com/entertainment/movies/chris-evans-and-robert-downey-jr-to-make-mcu-reunion-in-avengers-doomsday/article68967909.ece,movies
"Golden Globes 2025: Payal Kapadia earns two historic nods for ‘All We Imagine As Light’, ‘Emilia Pérez’ leads nominations with 10","Jacques Audiard’s audacious musical ‘Emilia Pérez’, about a Mexican drug lord who undergoes gender affirming surgery to become a woman, led nominations to the 82nd Golden Globes",The Hindu Bureau,"Golden Globes 2025: Payal Kapadia earns two historic nods for ‘All We Imagine As Light’, ‘Emilia Pérez’ leads nominations with 10 Jacques Audiard’s audacious musical ‘Emilia Pérez’, about a Mexican drug lord who undergoes gender affirming surgery to become a woman, led nominations to the 82nd Golden Globes Indian filmmaker Payal Kapadia continues her trailblazing journey with two nominations at the 2025 Golden Globe Awards for her critically acclaimed film, All We Imagine As Light. The film has secured nominations for Best Director (Motion Picture) and Best Foreign Film, marking a significant moment for Indian cinema on the global stage. Kapadia, who previously won the Grand Prix at Cannes 2024 for the same film, stands alongside esteemed directors like Jacques Audiard (Emilia Pérez), Sean Baker (Anora), and Edward Berger (Conclave).",https://www.thehindu.com/entertainment/movies/golden-globes-2025-payal-kapadia-earns-two-historic-nods-for-all-we-imagine-as-light-emilia-p%C3%A9rez-leads-nominations-with-10/article68965998.ece,movies
"Asif Ali, Anaswara Rajan’s ‘Rekhachithram’ gets a release date","‘Rekhachithram,’ which went on floors on May 3, also features Manoj K Jayan in a pivotal role",The Hindu Bureau,"Asif Ali, Anaswara Rajan’s ‘Rekhachithram’ gets a release date ‘Rekhachithram,’ which went on floors on May 3, also features Manoj K Jayan in a pivotal role We had previously reported that actors Asif Ali and Anaswara Rajan are teaming up for a Malayalam film directed by Jofin T Chacko. Now, the latest is that the film, titled Rekhachithram, will release in theatres on January 6. Asif announced the news on his social media handles with a poster that features him as a cop, and Anaswara as a nun.",https://www.thehindu.com/entertainment/movies/asif-ali-anaswara-rajans-rekhachithram-gets-a-release-date/article68968537.ece,movies
